,gPlusPlaceId,placename
64,117257078404250200338,Johnny Rebs' Southern Roadhouse
65,117911270535418157784,Lala's Argentine Grill
66,111604520748021182428,The Home Depot - Imperial Marketplace
67,109221654849947640750,Peet's Coffee & Tea
68,116695418162954393299,The Worker Bee Café
69,102685426987872384597,Black Bear Diner
70,105695295963027267794,Sunrise Deli
71,107966414088597011109,Sellers Markets
72,108746023275096721325,Claim Jumper
73,110202037843931429970,Falafel Bite
74,110920299157623781358,Ayola
75,111560170040558147802,The Sentinel
76,114236831589464986178,Hobee's Restaurant
77,114780673353448808763,KFC Sunnyvale
78,117261877263612920264,Specialty's Cafe & Bakery
79,117876414468911102074,Harvest & Rowe
80,104348320876530560386,Hooters
81,112957891332212550686,Whole Foods Market
82,117683100930550983026,Guadalupe's Place
83,116248029040296166558,Caesar's Italian Restaurant
84,103939304457513235620,Canton Low Restaurant
85,104402119931066023096,La Paz Cafe Inc
86,107235764581293994773,Chipotle Mexican Grill
87,108068983519144275085,Starbucks
88,113275244332587459514,Domenick's Pizza House
89,116685161343440998716,Britts Barbeque
90,117612548869533357849,Wingstop
91,105212735337230087687,Costco
92,102837265258277508602,Patty's Cakes and Desserts
93,100525207308308275599,FuseBox
94,110390659113017293002,Royal Taj India Cuisine
95,108899566531817940547,El Parian Restaurant
96,117031595923032503617,Walmart Supercenter
97,107214394317982841244,Volcano Burgers
98,104182452002108037785,Outback Steakhouse
99,116778979680292879040,Pho Hana Restaurant
100,117637989413011037280,Skipolini's Pizza
101,117647726244388372233,Van Nuys 76
102,117218111642190884872,Jerry's Pizza
103,111895608699986861595,Smashburger
104,106962778074918986266,Wok's On Express - Tien Fu
105,107038198808305358221,Del Taco
106,113657073174619674641,Gauchos Village/GauchosBar and Grill
107,102172799305238492331,Muracci's Japanese Curry & Grill
108,108722290696229342846,Humphreys Grill
109,105843041066953651472,Starbucks
110,113264766094605350809,SUBWAY® Restaurants
111,108935781268183514053,Barro's Pizza
112,114600997132509322576,Weiss Restaurant Deli Bakery
113,103179492971073461733,Tra Vigne
114,108629034808759248907,Big Four
115,100269826851128038815,Nepenthe
116,107837466149672377453,Dutch Goose
117,107984051541957632869,Greens Restaurant
118,118212697902342945558,Anatolian Kitchen
119,110865047643873363880,International House Cafe
120,109795032184257025098,Honeybaked Ham
121,110114114274764059593,Sequoia Brewing Company
122,103606313457720659052,"Stratosphere Casino, Hotel & Tower"
123,101962482736053389275,Dos Coyotes Border Café
124,104861251861937761399,El Zarape Restaurant
125,100638177799234165457,Chick-fil-A
126,106648264534845804664,Chick-fil-A
127,113661111956951008500,Chick-fil-A
128,115587396553064309062,AT&T
129,118074275352732857783,Taco's Jalisco
130,110325631344550531061,La Colonia Mexican Restaurant
131,113705538957124357311,Best Buy
132,104752759916407941974,El Pollo Loco
133,106337490630088485100,Todo Sushi
134,109085705895491215935,Pasta Roma
135,109944515642234662574,Cricket Wireless
136,117322361677061209416,Pho Hiep & Grill
137,105196775849090183440,Emporium Thai Cuisine
138,112071565473960375296,Starbucks
139,112319070331923125194,Starbucks
140,103223338898735714112,Pepitos
141,103703359637660114151,Costco Corona
142,105238728315417364022,SUBWAY® Restaurants
143,111087566769727311352,Tower of Pizza
144,114650390524342280790,SUBWAY
145,100352302865926693987,Los Cabos Restaurant
146,105034467878637148186,Hooters
147,105423205942263764469,Lucky Elephant Thai Cuisine
148,111382388581836848927,SUBWAY® Restaurants
149,102525971723254850286,Bund Shanghai Restaurant
150,112591946279014037444,Jamaica's Cakes
151,105306317368120751110,The Boiling Crab
152,106509717319120325287,Social Kitchen & Brewery
153,110650724622990092063,Cafe De Thai
154,108455968699080917870,Hiroba Sushi Restaurant
155,102712835129259897936,Monterey Cookhouse
156,106813059658544318560,McP's Pub Tahoe
157,107708010762831897824,Hodad's
158,109775802680075103312,Bear Beach Cafe
159,114529664028862138646,Great Basin Brewing Co
160,115157910050811873872,The Daily Bagel
161,117284235492680662203,Charley's Grilled Subs
162,109111818197268240784,TJ Oyster Bar
163,111186226695813626639,7-Eleven
164,100668886704487828217,Tradition
165,103543227476045464533,Gracias Madre
166,105120088465427802098,Wing Wings
167,107039750846497162184,Chez Maman
168,107182017792588792193,Katana Ya
169,110964442764661288951,Philz Coffee
170,113730737330959259257,Colibri Mexican Bistro
171,115221705565977946444,'Wichcraft
172,115304113604424607744,Rich Table
173,115317324152703736863,Domo
174,115465325301995082003,Blue Bottle Coffee
175,100772051747322861155,Buffalo Inn
176,110059671804488016070,Best Buy
177,100282274477093995446,Martha's 22nd St. Grill
178,100599835163530814873,Ricardo's Mexican Restaurant
179,103161335293193382982,Jimmy Buffett's Margaritaville - Las Vegas
180,108374030933328149740,Original Lindo Michoacan
181,114809318120058424453,Las Brisas
182,103507806731128309894,Taqueria Santa Rosa
183,101812107313222854735,Clarke's Charcoal Broiler
184,115477403701061349881,El Mercadito Mariachi
185,104690785823304786005,Kitchen 24
186,115129289895787974504,Maharaja Cuisine of India
187,108413395791098238013,Candelas
188,101692182455200280361,Stater Bros Markets
189,100459817920159256112,Pho Ellie
190,101873833873694264210,Thai House Restaurant
191,107559899307687228968,Firestone Walker Brewing Company
192,107921754229234783749,The Bruery
193,110392120817286882457,Augie's Coffeehouse
194,114217316881571960471,Viracocha Llc
195,110625397827564066871,Sprint Store
196,110270085660351592878,Hollywood Bowl
197,110691666082588510738,In-N-Out Burger
198,116739559631391964398,RH Restaurant
199,117810424449337873820,The Coffee Bean & Tea Leaf
200,118211768576468322671,Mel's Drive-In
201,101165250537060527506,Thai Tangerine Restaurant
202,106916845828333287789,Hodad's
203,118178229856859733431,Ocean Beach Pier Cafe
204,106290999928961311017,Canter's
205,100702974032315973133,Mama's
206,102080351921310612629,Anthill Pub & Grille
207,103462216519543936092,Peet's Coffee & Tea
208,104743172009835954981,Fourbarrel Coffee
209,106222304716873537270,Schroeder's Restaurant
210,110267217919616714233,PI Bar
211,110741127083501671025,Steelhead Brewing Co.
212,112068111370634334853,Soup Freaks
213,100120826059144809695,El Pescador Fish Market
214,110960646005824700704,Pho 87 Restaurants
215,108980049399829985913,Chico's Pizza
216,101169282887876049242,Party City
217,104225961573230851509,Walmart
218,115109261414780650570,Florida Café
219,115085488209826269141,Papa John's Pizza
220,100141101855643193457,Il Grano
221,100156522253133929032,Fig
222,100368326672370017312,Café 14
223,101344188025954145738,Larsen's Steakhouse
224,102642040979458465966,U-Zen
225,103578313662919495188,The Slanted Door
226,104084331945375252745,Balboa Cafe Mill Valley
227,104371668140096542726,71 Palm Restaurant
228,105336793785231737602,Tar & Roses
229,105851037134067468715,Cora's Coffee Shoppe
230,106098076523362926152,Locanda Veneta
231,107355421623703456030,The Buffalo Club
232,107675018385838778943,BOA Steakhouse
233,107935315651361385613,La Paella Restaurant
234,108164755382940913211,Angelini Osteria
235,108886249766816219530,Waterloo & City
236,109647309306662627061,Hog Island Oyster Co
237,110518470614852014496,Brandywine
238,110785022279422442473,Zuni Cafe
239,111750839439490083025,Ago Restaurant
240,111936805756969795525,Katana Robata & Sushi Bar
241,112253441869774248228,Lucques
242,112458756946472267587,Boulevard
243,113307458149219388025,Watermark on Main
244,114658158171279859920,Pat's Restaurant
245,114957945274410029042,Michael's Restaurant
246,115184788062127895367,Chinois On Main
247,116654238963674005373,Rae's Restaurant
248,117355349976953008067,Leila's
249,117663341251278235730,Sea Harbour Seafood Restaurant
250,118013676782247666991,The Tavern at Lark Creek
251,118015174951295409008,Peace Pies Raw Food Cafe
252,111905129962290129849,Baskin-Robbins
253,105958764041484910410,Starbucks
254,107082079530248048215,Spaghetti Eddie's Italian Restaurant
255,114805662276385941965,Dan Tana's
256,107264971035016760777,Deli Towne USA
257,100188632870861760029,Celia's Mexican Restaurant
258,101820888242583395148,Buccaneer
259,102419321032014999064,Black Scale
260,103286678442878960478,Kate O'Brien's Irish Bar
261,103808929826927133492,Cafe Cole
262,106749626458304945970,Shanghai Kelly's
263,109411229024921339325,Uno Dos Taco
264,114134902290707289134,Gold Cane Cocktail Lounge
265,114164517638835227634,Magnolia Gastropub and Brewery
266,111891787379302323218,Pitfire Artisan Pizza
267,117512894989019327226,Fundamental LA
268,102485129497218111550,RadioShack
269,103114905348516468788,Los Molcajetes Restaurant
270,118219861733289097948,El Patio
271,113611642486989437140,Atlas Cafe
272,117004498120414210564,In-N-Out Burger
273,109252312584712523341,"Apple Store, Chestnut Street"
274,103551647688998183957,Inti Restaurant
275,101761002956413145528,Mad Bull Tavern
276,114704515948143829118,Palmie
277,108593612043671635527,Downtown Rookies Sports Bar & Grill
278,113514920694904705057,Aaron's
279,117582264181585079831,Evelyn's Big Italian
280,102533684165121416498,Señor Grubby's
281,106430315173999849561,Naan & Curry
282,113545744779396692429,Bittersweet Treats
283,116186557336682143569,Mendocino Farms
284,117099049977603375790,Cuca's
285,104440353365327705024,Sapore Italiano Ristorante
286,106971195381578077658,House of Prime Rib
287,106316629059604499066,Veggie Grill
288,109132853267596853141,The Comedy & Magic Club
289,111001546690309302961,Gam Lei Sig Chinese Restaurant
290,115535773494508576119,La Taqueria
291,109783606556724659804,McDonald's
292,100165046485762659851,Souplantation & Sweet Tomatoes
293,113410464349063301030,Domino's Pizza
294,106013957195890202956,Butcher Shop
295,100816254133968356657,Bertucelli's La Villa Gourmet
296,101667744935589967569,Tomato Thyme
297,103300778801894197113,Roux Kitchen
298,104358664826887058207,Nola
299,108018876562235040888,Viva
300,110556649327109914070,Sushi Zono
301,110557475507871359519,ViVe Sol
302,113839287854265417302,Cin-Cin Wine Bar & Restaurant
303,117327449600594645085,Hobee's
304,111115019742974234172,Jameson Brown Coffee Roasters
305,112374201070822448064,CASA de TAMALES
306,117833328905427677228,Jo-Ann Fabric and Craft Store
307,113943223138974229653,The Joint
308,114647456529231368531,Five Guys
309,115879828141936017603,LA Cafe
310,102078818397090013192,Pat & Oscar's Restaurant
311,115706696607751780528,Five Guys Burgers and Fries
312,104500775156865902282,Mountain Mike's Pizza
313,114581162043644983941,Ernesto's Mexican Food
314,108748241649323366938,Caffe Greco
315,100386496471678269168,New East Buffet
316,105266860822521972290,Verizon Wireless
317,107081189766919080336,Fresh & Easy Neighborhood Market
318,113594055208259616855,Chez Alexander Mediterranean Bistro
319,114981746562200221052,Spike & Rail Steakhouse
320,113305256261715387755,Nacho Daddy
321,103529065847438963661,Amici's East Coast Pizzeria
322,100230543587112290525,Pin Kaow Thai Restaurant
323,103439718197423736600,El Mariachi
324,114003275910440665889,Giuseppe's Cucina Italiana
325,104529794171909769331,Spyglass Inn Restaurant
326,104671317837198796962,Sushi Kazoo
327,101301322048356254047,21st Amendment Brewery
328,101398813647581868669,Barney's Gourmet Hamburgers
329,101918326425368950904,McDonald's
330,101970337019775263219,Zachary's Chicago Pizza
331,104931653091152543031,Jack In the Box
332,105240617867642456454,Bongo Burger
333,105359578009014135513,Cactus Taqueria
334,105637248788224615565,Pyramid Brewery & Alehouse
335,107543055866542542031,A.G. Ferrari Foods
336,111284605615150893034,Taco Bell
337,111561771894492878457,Cole Coffee
338,114421472485806906646,Chipotle Mexican Grill
339,114809856120213942608,Mokka
340,115271406244693266795,BurgerMeister
341,116485025069752595114,Triple Rock Brewery & Alehouse
342,114606445172975394830,Pasión
343,115187819820570308039,Sesame Grill
344,107254865473178329841,Safeway
345,113829290855934148212,McDonald's
346,101277906025725487483,Loews Santa Monica Beach Hotel
347,100860325256434907950,La Burrita
348,101050104507225998896,Ann's Kitchen
349,101069850745808242390,Taqueria Can-Cún
350,101152218945366787193,Geta Japanese Restaurant
351,102975703707967128066,Burma Superstar
352,102981488284447727644,ZENSEN Sushi Express
353,103276524710684088681,Chipotle Mexican Grill
354,103309884968659050265,Taqueria Cancun
355,104261303872140390108,Yo Yo's
356,104577928364317999190,Gypsy's trattoria Italiana
357,104774734567787910940,Palomino San Francisco
358,105001259184719528409,Trader Joe's
359,106572860086926809940,Top Dog
360,107014612137954463511,Old Fisherman's Grotto
361,107291968436287472415,Safeway
362,107740704895313632419,Kokkari Estiatorio
363,107787525464702398043,Ruby Skye
364,109161602258610267519,MarketBar
365,109187511202406859727,Smart Alec's Intelligent Food
366,109941379349674724851,Vik's Chaat Corner
367,110255687918040001175,Safeway
368,111272602292431973809,Safeway
369,112056045895803828417,Le Cheval
370,113518874925681731882,Bagel Street Cafe
371,113794476300926259883,Self Edge
372,115046227446249594582,Steve's Bar-B-Que
373,116801859000363286734,Albany Bowl
374,117711915636922092282,Oasis Grill
375,118439211624728766428,Manpuku
376,117810261198761849300,Ben & Jerry's Ice Cream
377,114885617505419984574,Thai Plate Restaurant
378,117075474920720808254,Smart & Final Extra!
379,106712219099248237253,The Coffee Bean & Tea Leaf
380,115236831466332207793,Sprint Store
381,114231944120572679967,New York Pizza
382,107181286454000040902,Bill's Place
383,116551006333226019864,Taco Express
384,117809601369267521845,Rainbow Sushi & Teriyaki
385,101061487688413600076,Raffallo's Pizza
386,101955810786569910117,The Coyote Bar & Grill
387,104530694456951264115,PK Sushi
388,106152685376900187587,Ristorante Buon Gusto
389,106258449219999734455,Pompei's Grotto
390,110013694874860747243,Ninja Sushi
391,109881584956049606063,Cafe Buna
392,102323962942998779692,Brite Spot
393,101801440088737245050,Charlie's Trio
394,109194087643952251152,BJ's Restaurant & Brewhouse
395,111410456999671244048,Stuffed Sandwich
396,113678932664786642391,Salvatore Italian Restaurant
397,116461258871522527281,38 Degree Ale House & Grill
398,106752858399570770239,Cafe 1134
399,110052844558516199441,Point Break Cafe
400,113674751929633689798,McDonald's
401,117266661306479855274,Jack In the Box
402,107179057694481858815,Rock & Brews
403,100050494637424904282,Osha Thai
404,105338278005911855865,Bullshead Restaurant
405,105638964247090687666,Unionmade
406,105960800259063764490,Ike's Place
407,107265846431734857792,Yank Sing
408,111697368468958409336,Greenhouse Cafe
409,116054119920062114491,Goat Hill Pizza
410,116692536912028694956,Lunch Geek
411,111379493645785813322,Sportsmans Express
412,116660266232802157551,Pizza Hut
413,109591349558365003103,Game Stop
414,111486070877019355138,Cheesesteak Shop
415,112945666151556817585,South Beach Cafe
416,109257743014035053895,Mama DePalma's Pizza & Bistro
417,112223545883032061959,Famous Dave's BBQ
418,116892169705067161990,Don Panchos Mexican Food
419,109806340538636716099,Sura Korean BBQ & Tofu Restaurant - Long Beach
420,110259835577911784529,Chili's Grill & Bar
421,108658009952696701560,Level 3
422,110820600417093310221,McDonald's
423,100620183467296782659,McDonald's
424,102659058382239633116,Pizza Hut
425,102757379267356425727,Little Caesars Pizza
426,103504650412008638378,Burger King
427,104675839649807790529,"Jack in the Box - Dinuba, CA"
428,108422120362066124551,La Langosta Restaurant
429,110909459323273527379,Panda Express
430,108156529238783021109,The Lobster
431,116823807332533555943,Burger King
432,100503094211396854870,Magnolia Grill
433,103507438985862216998,HARBOR FREIGHT TOOLS
434,116502245701611296033,Subway
435,116441720778847568901,TGI Fridays
436,108301341405455457572,Zeki's Bar
437,105797918011398705069,Dairy Queen
438,114712679807180529061,Enterprise Fish Company
439,101589335730751005857,TravelCenters of America
440,112896688265570643259,Bi-Rite Creamery
441,101861121699670337669,KFC Rancho Cordova
442,102877942432723716326,Claire's
443,102931312332603260882,Encore Karaoke Lounge
444,106070282776583691748,Harris Ranch Inn & Restaurant
445,110771659057146019117,Chips Restaurant
446,100142041138054812893,Blue Barn Gourmet
447,100994241038766470330,Stella's
448,101085307387940750196,The Java House Restaurant
449,101521949510489041918,"Pizza,pasta, palm springs, CAFFE ITALIA"
450,103618621216629126825,Ad Hoc
451,103703010465386924706,The Keating
452,104235701041115404437,Chez Spencer
453,104296747368655435789,Jake's
454,104664100899750317176,Frascati
455,104740921948882907059,230 Forest Avenue
456,105144005113634045743,Slow Club
457,105450646847116417939,Bossa Nova
458,105710496135104094852,Caffè BaoNecci
459,106228705116427303737,Una Pizza Napoletana
460,107039486794171293095,South Beach Bar & Grille
461,107634764864990240217,Ristorante Umbria
462,107701362067220958880,Emmy's Spaghetti Shack
463,107961108316542457987,Heaven's Dog
464,108377068644562150735,Nihon
465,109319753461591152752,54 Mint Restaurant
466,109321959683754947833,Nopa
467,110483636975711501713,Dottie's
468,110538029951138864689,Gott's Roadside
469,110835926607934831242,Barbacco
470,110901578357312592470,Bread & Cie
471,111839886507121165428,Altitude Sky Lounge
472,112426253612199899325,Bar Agricole
473,112947259341866982433,Sevilla Nightclub
474,113142027809157968112,Stacks
475,113477674796546011727,Citizen's Band
476,114015360086054639085,The Cheesecake Factory
477,115838534303300254403,Smuggler's Cove
478,116534749832984108569,Pinecrest Diner
479,117630454633650550657,House of Nanking
480,118177233774098605516,Basil Thai Restaurant & Bar
481,105981326376027940290,Denica's Real Food Kitchen
482,102350494877002307279,"Jazz, A Louisiana Kitchen"
483,104277514911519316172,Juicy's Giant Hamburgers
484,105320526153201463222,Ruby River Steakhouse
485,109815597001264666518,Claim Jumper
486,110630012083356262145,Naan & Kabab
487,111927195686556605541,Sushi Pier
488,112889845417097921027,Sushi Pier 2
489,108803682449511818638,L&L's Hawaiian BBQ
490,108549238477881511644,Scott's Restaurant & Bar
491,107277684113161463949,Pho Pasteur Restaurant
492,114813290646671178592,Pizza Hut
493,100384302032642495434,Lola's
494,102691695519311527493,Side Door
495,105644492626603786588,Palm Restaurant
496,106511985877765636614,Liquid Kitty
497,109680893228043322007,Nic's Beverly Hills
498,111702112733794592747,Takami Sushi & Robata
499,113919715089166038101,Alibi room
500,115933502176429140049,Musso & Frank Grill
501,116428767871870253261,London Gastro Pub
502,106393546274149429812,Starbucks
503,113058709388043906501,California Fish Grill
504,114429189791182150654,Starbucks
505,108715295148634791600,Camelot Fish & Chips
506,102196898007445931732,Greystone the Steakhouse
507,109123514849333285859,Elephant Bar Restaurant
508,109966153430480703519,SOZO Sushi
509,118430513417815011570,Buffalo Wild Wings
510,110966677530482843493,China Express
511,100897467749473608392,Weber's BBQ & More
512,101393735214473472076,Paradiso
513,101083196938953506899,Porto's Bakery & Cafe
514,100063819034039436842,Game Stop
515,116111209950715728122,Le Bistro
516,109056481307065474681,Happy Buffet
517,108268720828357791326,Souplantation & Sweet Tomatoes
518,113419534689348529740,Mr. Appliance of The Central Valley
519,102968595507318024504,Big Man Bakes
520,108330701587127315606,McCormick & Schmick's Seafood & Steaks
521,112330351993242899059,Bill's Cafe
522,100797551075695196379,The Godfather
523,106485890215381174040,Mona Lisa
524,107004897247961148646,Basic
525,109821744627322610461,Sammy's Woodfired Pizza
526,110583229489136055419,Filippi's Pizza Grotto
527,102039389517343045079,Staples
528,104486920906539371245,Costco
529,107821075794832761555,Verizon Wireless
530,101793939483880377322,Pizza House
531,106851868302988822975,Fiesta Del Mar Too
532,102898532467714703185,Zen Buffet
533,118144454247407795505,RICE N NOODLE
534,101665998461964047817,Taco Bell
535,108226393951851601132,Target
536,112451494310286431929,JT's Pub & Grill
537,105309929606183697388,Black Angus Steakhouse
538,108080708693310481600,IHOP Restaurant
539,107804978688116556744,Swiss Donut
540,114494442722165911938,Little Caesars Pizza
541,100998794847013530712,Game Stop
542,107611610211127226876,Target
543,102801358720648558283,Hobee's
544,102977343679790882256,Bill's Cafe
545,104819090017623456108,White Water Snacks
546,107152598818112852076,Left Bank Menlo Park Brasserie
547,111227349110817183570,LB Steak
548,112291040768960885308,Dio Deka
549,114038106795128547213,Rancho del Zocalo Restaurante
550,114940248939873327431,Antonella's Ristorante
551,103742825518598975465,Mc Donald's
552,107926150035424910476,Target
553,110533080357450562668,Papa John's Pizza
554,105238244380535730499,Chung King
555,102753950047695352124,Sushi Deli 3
556,104814928716596858793,Studio Diner
557,106952999757767336081,Mitsuwa Marketplace
558,107059509886024083840,Wings N Things
559,107418140966138091390,Giovanni's Restaurant
560,108679483223497346437,Burger King
561,113033346878483135590,Barnacles Bar & Grill
562,115108145591368812661,Bann Thai Restaurant
563,103223038947923274927,Jerome's Furniture
564,102718767558055154061,FedEx Office Print & Ship Center
565,115392994046704994824,Hon Sushi
566,103826884269300131245,Pho Hoa
567,114559904583353323218,Pho Bang
568,117189041365332804235,Pho Kim Long
569,102012507849445166750,Pei Wei Asian Diner
570,100525516269954547021,Fresh & Easy Neighborhood Market
571,101097766116183950270,AT&T
572,113703649736911050006,Mikomi Sushi
573,113505979756793299226,LaCosta Mission
574,104448386988567535153,Village Indian Cuisine
575,109332030423912644160,Cotixan Mexican Food
576,110133798653185951385,Cowboy Star
577,117217836691686729197,Fat Tony's Pizza
578,103590931692850646048,El Pico De Gallo Grill
579,112094677482395554562,One Pico
580,118004909385254553768,Bubba Gump Shrimp Co.
581,108078371324328479134,Frankie's Tiki Room
582,114782952704168825646,Kohl's
583,110889847485894592445,El Maguey Mexican Restaurant
584,103303834293427273470,Tony P's Dockside Grill
585,115869180282598042087,Sprint
586,116608522353161101245,Tony's Kitchen
587,111704160587379938202,Old Navy
588,116473073650981351806,Round Table Pizza
589,105198098813604822128,Amoeba Music
590,104092474264088312716,Sushi Hook
591,104342410001511200507,Siam Restaurant
592,110051040711656582620,Arigato Sushi
593,107433197580098767501,Boost Mobile
594,102464706925993375033,Applebee's Neighborhood Grill and Bar
595,102678768858983617214,El Ranchito Taco Shop
596,113692141980238502541,Alberto's Mexican Food
597,116371098974207098055,Starbucks
598,101250050476735594435,Tierra Mia Coffee
599,102174751754995242532,Russian River Brewing Company
600,103942634801716427572,Monkey Paw
601,104100259530217039122,The Lost Abbey / Port Brewing Co
602,106241096519156996850,Karl Strauss Brewing Company
603,113243523082167204046,Karl Strauss Brewing Company
604,100212515142083985226,The Original Pantry Cafe
605,105794399593678037966,Weeman's Chronic Tacos
606,106022789858251207383,Purgatory Pizza
607,110351589707977541547,AT&T Simi Valley
608,100316977028117352987,Sprint by Wireless Lifestyle
609,101270417607176106726,La Fiesta Taqueria
610,109766185286940098560,Blackbird Kitchen + Beer Gallery
611,100738084191798551301,Giordano Brothers
612,100171741299443484339,Ariel's Grotto
613,100569455706821548505,PostNet
614,113401223653367884915,Bahia Don Bravo
615,118113873241192072725,Thai T
616,113334367566823000777,China Palace
617,105072030726839547501,Long John Silver's
618,107651873975887299807,Denny's
619,111280162645644452653,Farmerbrown
620,112653388210507620853,Louisiana Fried Chicken
621,114440632109230752503,Gyro King
622,115311905997158646227,Sizzler
623,117751243249643656300,Oriental Restaurant
624,116360945142006645965,Target
625,113551736939784578732,Le Chêne
626,111372861330496074569,The Coffee Bean & Tea Leaf
627,105551736623233548570,Buffalo Wild Wings
628,115741088615546501017,Smokeyard BBQ and Chop Shop
629,117298495201986821561,The Bungalow
630,105605645915966452704,Straw
631,102896513175682704564,El Tarasco Mexican Food
632,114280016708107993954,Omelette & Waffle Shop
633,112152384289017527666,Shalala
634,101658047196463496522,Yosemite Ranch Steak & Seafood
635,114733678528080471894,Javier's
636,113113936559431742990,Snug Harbor
637,112633565827471285574,Scoma's Restaurant
638,116743613459059351553,Cafe Mason
639,118238165640965722623,Domino's Pizza
640,115445497459835181669,Sprint Store
641,106738017877431029247,Kern River Brewing Co
642,106923360119386991270,Buckmeadows Restaurant
643,112365628625678225547,Hotel Charlotte
644,116222211867435417566,The Franciscan Crab Restaurant
645,103311367480951500811,Starbucks
646,106150915725490142785,Turmeric Restaurant
647,106307466340451515593,On the Border Mexican Grill
648,101786156282425164229,Papa John's Pizza
649,102150606911706132808,Little Caesars Pizza
650,102359722097397933943,Round Table Pizza
651,103027630884504713138,Costco San Leandro
652,104192224195125654979,Portola Coffee Lab
653,107871189940869792344,Hollywood Cafe
654,111920979190384109013,T-Mobile Palm Desert
655,102807046197989902129,Dona Esther Mexican Restaurant
656,114519911580849460492,Galletto Bar & Grill
657,101224154739980623857,Buffalo Bill's Brewery
658,113528873313909258448,Siam Palace Thai Cuisine
659,103497868497723477091,Tom's Jr
660,100735377346258413505,Panda Express
661,104588535993737709885,Mountain Mike's Pizza - Madera
662,106515162128901481283,Long John Silver's
663,107297350890868715721,IHOP Restaurant
664,108052958778434110751,Di Cicco's Pizzeria
665,115031446825204412257,McDonald's
666,115388297842837228668,SUBWAY® Restaurants
667,115813108722041536483,McDonald's
668,116551976477189555958,Denny's
669,114791357868639153227,Monkey Cat Restaurant
670,101262352426376693289,Country Kabob Greek Restaurant #2
671,104461869139132820206,Denny's
672,104765640043374441241,Dunkin' Donuts
673,111250337748861296284,Rj's Sizzlin Steer
674,106933117985487520131,Los Toros Restaurant
675,111835015455657367256,Piatti Ristorante & Bar
676,108597139373129025620,Salvation Army
677,114217812098070212578,Jamba Juice
678,117087512834254868961,Domino's Pizza
679,117211349514196338507,Walmart
680,109845554125333396385,The Home Depot
681,118421909076529195463,Chotto
682,107032177351931834378,Starbucks
683,109322043247211188301,Morocco's Restaurant Mountain View
684,109798932523563920460,Sloppy Joey's Pizza and Pasta Joint
685,116879847489355920611,Sonic Drive-In
686,101881220184416824536,Tokyo Sushi House
687,105716937314939506314,Sumo Sushi
688,112960939724175972133,Margaritaville
689,114295750828921451519,Todo Un Poco Bistro
690,110237921555228794333,Dick's Last Resort
691,114311621290705710187,Lake Alice Trading Co Saloon & Eatery
692,104087569536831339194,Bertha Miranda's
693,108077918453590561721,Pneumatic Diner
694,109915173482644196861,Squeeze In
