abbreviation,meaning
con 3 vang ngoc,chị ba vàng ngọc
chỉ đ,chỉ điểm
j4f,chỉ đùa thôi
ce,chị em
cy,chị yêu
ctay,chia tay
chym,chim
trym,chim
9 phủ,chính phủ
trính tã,chính tả
9 xác,chính xác
cko,cho
c hó,chó
ch ó,chó
choá,chó
cờ hó,chó
chổ,chỗ
ccm,cho cà mu
chu ca mo,cho cà mu
chợ đx,chợ đồng xuân
chu cờ mo,cho rờ mu
chu rờ mo,cho rờ mu
chu gờ mo,cho sờ cu
trol,chơi khăm
troll,chơi khăm
ck,chồng
cccđ,chống cộng cực đoan
chũ,chủ
chớ,chứ
thớt,chủ đề
thread,chủ đề
cnsc,chủ nghĩa cộng sản
cnxh,chủ nghĩa xã hội
ch,chưa
chuaanr,chuẩn
cbi,chuẩn bị
cmnm,chúc mừng năm mới
hép pi niu yeah,chúc mừng năm mới
cmsn,chúc mừng sinh nhật
chữi,chửi
dis,chửi
diss,chửi
đjs,chửi
chug,chung
chũng,chủng
chừg,chừng
chừn,chừng
cktg,chung kết thế giới
cmay,chúng mày
cmnd,chứng minh nhân dân
cno,chúng nó
cnó,chúng nó
ctrinh,chương trình
chiện,chuyện
chx,chuyện
chz,chuyện
fans,chuyển giới
pờ nhồ,chuyên nghiệp
cờ nhíp,clip
líp,clip
coa,có
fa,cô đơn mãi mãi
codonqua,cô đơn quá
cố dấn,cố vấn
kọc,cọc
koi,coi
kon,con
cc,con cặc
ccc,con cặc
coin card,con cặc
con c,con cặc
con card,con cặc
concac,con cặc
concard,con cặc
ccj,con cặc gì
cđ,con đĩ
condi,con đĩ
cđl,con đĩ lồn
condime,con đĩ mẹ
cgai,con gái
cmnđ,con mẹ nó đi
cocc,con ông cháu cha
tu bi con tờ niu,còn tiếp
tu bi không tình yêu,còn tiếp
ctrai,con trai
côg,công
plus,cộng
c a,công an
c an,công an
c.a,công an
c/a,công an
can,công an
lgbt,cộng đồng giới tính thứ ba
cdm,cộng đồng mạng
chxhcnvn,cộng hoà xã hội chủ nghĩa việt nam
csvn,cộng sản việt nam
cty,công ty
cô rô na,corona
coronaviruswuhan,corona vi rút vũ hán
cô vi,covid
covi,covid
covis,covid
cuvid,covid
c*,cu
ciu,cu
ku,cu
ex,cũ
củ kỉ,cũ kĩ
cu lon,củ lồn
cuccut,cục cứt
cktp,cực kỳ thuyết phục
cg,cũng
cug,cũng
cũg,cũng
củng,cũng
cx,cũng
kug,cũng
cưg,cưng
kưg,cưng
kưng,cưng
cừ,cười
cừi,cười
cuoi,cười
smile,cười
lmao,cười tụt cả mông
ks,cướp mạng
kut,cút
cức,cứt
shit,cứt
siệt,cứt
cíu,cứu
dza,dạ
dzạ,dạ
đl,đà lạt
đn,đà nẵng
đnăng,đà nẵng
zái,dái
giãi,dãi
dái,đái
đbqh,đại biểu quốc hội
đại ka,đại ca
đạika,đại ca
đh,đại học
đhcn,đại học công nghệ
cọp,dần
ngưu,dần
đag,đang
dg,đang
d4ng',đáng
đảg,đảng
đoảng,đảng
đcs,đảng cộng sản
đky,đăng ký
sub,đăng ký
subrai,đăng ký
subscribe,đăng ký
dag mat,đáng mặt
quính,đánh
review,đánh giá
rì viu,đánh giá
rv,đánh giá
bủm,đánh rắm
ord,đặt hàng
order,đặt hàng
rát vàng,dát vàng
đou,đâu
đôu,đâu
đ buồi,đầu buồi
đ buoi,đầu buồi
đ.buoi,đầu buồi
đ.buồi,đầu buồi
đầu b,đầu buồi
db,đầu buồi
đb,đầu buồi
đei,đây
đêi,đây
đếy,đấy
dể,dễ
easy,dễ
ez,dễ
zễ,dễ
đẽ,đẻ
deso,dễ sợ
ds,dễ sợ
cute,dễ thương
cutoe,dễ thương
dethuong,dễ thương
dth,dễ thương
dthuong,dễ thương
dthw,dễ thương
kewt,dễ thương
kute,dễ thương
đách,đếch
đachlone,đếch lồn
*éo,đéo
đ,đéo
d',đéo
đ',đéo
"đ""",đéo
đếch,đéo
dek,đéo
đek,đéo
đel,đéo
dell,đéo
đell,đéo
đéll,đéo
deo,đéo
dew,đéo
đoé,đéo
éo,đéo
ếu,đéo
méo,đéo
deodcroi,đéo được rồi
dhs,đéo hiểu sao
l ồ n,lồn
l.ồ.n,lồn
lồ n,lồn
lồ.n,lồn
c.u,cu
c u,cu
p/s,ps
txuc,tiếp xúc
cta,chúng ta
bhyt,bảo hiểm y tế
đhs,đéo hiểu sao
m*n,môn
đlq,đéo liên quan
đtrai,đẹp trai
đz,đẹp trai
đzai,đẹp trai
đê,đi
dj,đi
đy,đi
đỉ,đĩ
đuỹ,đĩ
đũy,đĩ
đỷ,đĩ
phò,đĩ
dicho,đĩ chó
mobi,di động
mobile,di động
ỉ ẹ,đĩ mẹ
đ/chỉ,địa chỉ
đchi,địa chỉ
đjch,địch
tele,dịch chuyển
teleport,dịch chuyển
cave,điếm
đt,điện thoại
đth,điện thoại
đthoai,điện thoại
dtdd,điện thoại di động
dv,diễn viên
zịu,diệu
đìu,điều
dink,đỉnh
đỉnh kout,đỉnh cao
ch ch,địt
ch!ch,địt
chịch,địt
đ t,địt
đ!t,địt
d*t,địt
đ*t,địt
điss,địt
dịt,địt
diz,địt
điz,địt
djt,địt
đjt,địt
đuỵt,địt
dyt,địt
đỵt,địt
lịt,địt
nựng,địt
phang,địt
xoạc,địt
cb,địt con mẹ
cđm,địt con mẹ
dcm,địt con mẹ
đcm,địt con mẹ
đitconme,địt con mẹ
dkm,địt con mẹ
đkm,địt con mẹ
đờ cờ mờ,địt con mẹ
dcmm,địt con mẹ mày
đcmm,địt con mẹ mày
đitconmemay,địt con mẹ mày
dkmn,địt con mẹ nó
djtcu,địt cụ
đ m,địt mẹ
đậu má,địt mẹ
đậu mạ,địt mẹ
đệch,địt mẹ
đệt,địt mẹ
ditme,địt mẹ
địtmẹ,địt mẹ
djtme,địt mẹ
đjtme,địt mẹ
dm,địt mẹ
đm,địt mẹ
đme,địt mẹ
đuỵt moẹ,địt mẹ
phắc,địt mẹ
dmca,địt mẹ công an
dmcsvn,địt mẹ cộng sản việt nam
ditmevualonetaolam,địt mẹ vừa lòng tao lắm
dì giây,dj
zơ,dơ
giở,dở
đoá,đó
ó,đó
mixi,độ mixi
zối,dối
cáp tần,đội trưởng
đôn chề,dolce & gabbana
đồn ca,đồn công an
đvi,đơn vị
đ/c,đồng chí
đná,đông nam á
rữ,dữ
zữ,dữ
đ*,đụ
dou,đụ
duconme,đụ con mẹ
dl,du lịch
dlv,dư luận viên
đậu phộng,đụ má
douma,đụ má
đouma,đụ má
đụma,đụ má
ụ á,đụ má
ụ á ày,đụ má mày
đậu móa,đù mẹ
đờ mờ,đù mẹ
dume,đù mẹ
dmie,đụ mẹ
đou mẹ,đụ mẹ
đu me,đụ mẹ
duma,đụ mẹ
dumoe,đụ mẹ
đumoe,đụ mẹ
dmcs,đụ mẹ cộng sản
đmcs,đụ mẹ cộng sản
dmm,đụ mẹ mài
đmm,đụ mẹ mài
dừa lờ,dừa lòng
đúg,đúng
đứg,đứng
đừg,đừng
đr,đúng rồi
yep,đúng rồi
yup,đúng rồi
dc,được
đc,được
dk,được
đk,được
đuok,được
đượt,được
dx,được
đx,được
kê,được
ô kê,được
oce,được
ok,được
okay,được
oke,được
okeere,được
oker,được
oki,được
đủi,đuổi
suga,đường
sugar,đường
bot,đường dưới
bottom,đường dưới
zuy,duy
dziên,duyên
ziên,duyên
e,em
iem,em
iêm,em
ễm,em ấy
ẽm,em ấy
baby,em bé
bae,em bé
bấy bì,em bé
face,facebook
fb,facebook
fbút,facebook
fancung,fan cứng
page,fanpage
ffq,friend forever gaming
goà,gà
rằng rủi,gần gũi
gờ đờ,gdragon
gờ đờ ra gon,gdragon
gờ đờ ra gôn,gdragon
ge,ghê
gê,ghê
gk3^,ghê
gke,ghê
gkê,ghê
gato,ghen ăn tức ở
giề,gì
j,gì
ji,gì
rì,gì
zì,gì
j đó,gì đó
j v,gì vậy
j zay,gì vậy
jz,gì vậy
jz tr,gì vậy trời
f1,giả
fake,giả
gja,giả
phake,giả
gd,gia đình
gđ,gia đình
gdinh,gia đình
gđình,gia đình
gtri,giá trị
giặt,giặc
zải,giải
msi,giải đấu giao hữu quốc tế giữa mùa
vcsa,giải vô địch liên minh huyền thoại a
vcsb,giải vô địch liên minh huyền thoại b
giảg,giảng
giàh,giành
ghpg,giáo hội phật giáo
dực,giật
dựt,giật
giựt,giật
dàu,giàu
giầu,giàu
giầy,giày
kill,giết
h,giờ
jo,giờ
intro,giới thiệu
dống,giống
giốg,giống
dọng,giọng
dùm,giúp
giùm,giúp
gjup,giúp
gogle,google
grap,grab
hã,hả
hỏ,hả
hử,hả
huh,hả
hâh,ha ha
haha,ha ha
ka ka,ha ha
kaka,ha ha
kk,ha ha
muhaha,ha ha
hà lội,hà nội
hanoi,hà nội
haix,hài
haixx,hài
haiz,hài
hazz,hài
hảm,hãm
hàn sẻng,hàn quốc
hq,hàn quốc
hág,háng
hàng face,hàng fake
ăn hành,hành hạ
hp,hạnh phúc
hg,hậu giang
hây,hay
ahihi,hi hi
hihi,hi hi
hjhj,hi hi
ki ki,hi hi
kiki,hi hi
hếu,hiếu
híu,hiếu
ava,hình đại diện
avatar,hình đại diện
hnhu,hình như
hcm,hồ chí minh
ông họ hồ,hồ chí minh
sp,hỗ trợ
support,hỗ trợ
quài,hoài
bơ phẹt,hoàn hảo
hoag,hoang
quàng,hoàng
hk sinh,học sinh
hs,học sinh
hsinh,học sinh
hk trò,học trò
hok tro`,học trò
hvien,học viện
hđqt,hội đồng quản trị
bôi trơn,hối lộ
hô ni hút,hollywood
hnao,hôm nào
hnay,hôm nay
hqa,hôm qua
hqua,hôm qua
htrc,hôm trước
hun,hôn
hổn,hỗn
hóg,hóng
hồg,hồng
hỏg,hỏng
hop,hợp
huhu,hu hu
a dua,hùa theo
adua,hùa theo
hlv,huấn luyện viên
hm,hừm
hưm,hừm
hùg,hùng
hoèn,huyền
ẻ,ỉa
ị,ỉa
ỉ*,ỉa
ĩa,ỉa
indo,indonesia
ig,instagram
ins,instagram
insta,instagram
ie,internet explorer
ip,iphone
pod,ipod
đóm,jack
jb,justin bieber
cây atm,katm
cây ây ty em,katm
k atm,katm
k-atm,katm
kây atm,katm
keme,kệ mẹ
kl,kết luận
kq,kết quả
kqua,kết quả
kiu,kêu
bảnh,khá bảnh
ksạn,khách sạn
khỏag,khoảng
khok,khóc
khók,khóc
khox,khóc
khox',khóc
khon nan,khốn nạn
hem,không
hok,không
hôk,không
hơm,không
hong,không
hông,không
honk,không
k,không
kg,không
kh,không
khg,không
khog,không
khôg,không
khum,không
ko,không
kô,không
kog,không
o,không
khốg,khống
kbh,không bao giờ
kbiet,không biết
kbt,không biết
không biếc,không biết
khs,không hiểu sao
klq,không liên quan
kp,không phải
kpai,không phải
kphai,không phải
ksao,không sao
khug,khùng
khùm,khùng
khùn,khùng
km,khuyến mãi
kiag,kìa
k icm,kicm
k-icm,kicm
kím,kiếm
kt,kiểm tra
ktr,kiểm tra
ktra,kiểm tra
kd,kinh doanh
ktế,kinh tế
k pop,kpop
k-pop,kpop
kpop,kpop
skill,kỹ năng
lak,lắc
lợi,lại
lm,làm
lém,lắm
lj,làm gì
2 light,làm nổi bật
lsao,làm sao
lambor,lamborghini
l2,lần hai
ls,lạng sơn
lc,lào cai
lđ,lao động
lat do,lật đổ
lmcs,lật mặt cộng sản
lou,lâu
va lung tung,lễ tình nhân
valentine,lễ tình nhân
vlt,lễ tình nhân
lyn,lên
lew lew,lêu lêu
liu liu,lêu lêu
ní,lí
liêm xỉ,liêm sỉ
lh,liên hệ
lmht,liên minh huyền thoại
lih,linh
lcl,lỗ chân lông
con lô,lô đề
lốc less,loch ness
lổi,lỗi
l,lồn
l o n,lồn
l.o.n,lồn
l**,lồn
l*n,lồn
l4`n,lồn
l9l,lồn
lìn,lồn
lờ,lồn
loằn,lồn
lok,lồn
lolz,lồn
lolzz,lồn
lôm,lồn
lon,lồn
lòn,lồn
lỗn,lồn
lone,lồn
loxz,lồn
loz,lồn
lôz,lồn
lừ,lồn
lùm,lồn
lx,lồn
lz,lồn
nhồn,lồn
lx má,lồn má
lò tôn,lồn to
lồng lộn,lồng lộng
lủ,lũ
lường gạt,lừa gạt
nùi,lùi
lưg,lưng
lụm,lượm
lun,luôn
luôm,luôn
luông,luôn
nun,luôn
mak,mà
mừ,mà
muk,mà
mai thúy,ma túy
ma phi te,malphite
màng hinh,màn hình
mag,mang
mạg,mạng
mxh,mạng xã hội
mụp,mập
md,mất dạy
ml,mặt lồn
mầu,màu
lốn màu,máu lồn
m,mày
mài,mày
mí,mấy
camera,máy ảnh
máy b,máy bay
uh1,máy bay trực thăng
mđ,mấy đứa
pc,máy tính cá nhân
m*,mẹ
mé,mẹ
mịa,mẹ
mie,mẹ
móa,mẹ
moẹ,mẹ
mọe,mẹ
pẹ,mẹ
mẹ high,mẹ hai
meow,mèo
mều,mèo
mes,mercedes
mẹc si,messi
mể,mĩ
mịnh,mịn
mh,mình
mìh,mình
mik,mình
mìn,mình
mõi,mỏi
ms,mới
m n,mọi người
mn,mọi người
mng,mọi người
m1,mồng một
mình ên,một mình
múi,muối
mún,muốn
nèo,nào
susan,nasus
susan0175,nasus
lày,này
nài,này
nầy,này
ni,này
neh,nè
nek,nè
nò,nè
nghèn,ngàn
nhnn,ngân hàng nhà nước
ất ơ,ngáo
hen,nghe
nge,nghe
nsnd,nghệ sĩ nhân dân
nsưt,nghệ sĩ ưu tú
nghic,nghĩ
ngi,nghĩ
ngỉ,nghỉ
nvqs,nghĩa vụ quân sự
ngộ nghĩh,ngộ nghĩnh
ngok,ngốc
ngốk,ngốc
ngtrinh,ngọc trinh
ngủi,ngửi
ng,người
ngừi,người
br,người anh em
homie,người anh em
chóp bu,người cấp bậc cao nhất
pro player,người chơi chuyên nghiệp
most valuable player,người chơi giá trị nhất
mvp,người chơi giá trị nhất
hàn xẻng,người hàn
ngkhac,người khác
cờ rớt,người mình thích
cr,người mình thích
crush,người mình thích
quý bửu,người nghiện truyện tranh nhật bản
webo,người nghiện truyện tranh nhật bản
weeboo,người nghiện truyện tranh nhật bản
wibu,người nghiện truyện tranh nhật bản
ng ta,người ta
ngt,người ta
ngta,người ta
nta,người ta
ng eo,người yêu
ngiu,người yêu
ngừi eo,người yêu
niu,người yêu
ny,người yêu
nyc,người yêu cũ
nn,nhà nước
toilet,nhà vệ sinh
tolet,nhà vệ sinh
ib,nhắn tin
ibx,nhắn tin
inb,nhắn tin
inbox,nhắn tin
nt,nhắn tin
nhứt,nhất
nkyn,nhật ký yêu nước
nhẩy,nhảy
ngen,nhé
nghen,nhé
nha,nhé
nhak,nhé
nha mại,nhé mày
he,nhỉ
nhễ,nhỉ
nhể,nhỉ
nhõ,nhỉ
nhợ,nhỉ
nhĩm,nhiễm
nhiêng,nhiên
nhiu,nhiêu
chu cà mo,nhiều
nhìu,nhiều
nhjeu,nhiều
nh nước,nhiều nước
nhims,nhím
nhimsmvp,nhims
nhok,nhóc
gr,nhóm
group,nhóm
ncc,như con cặc
nthe,như thế
ntn,như thế nào
nvay,như vậy
nvậy,như vậy
nh,nhưng
nhg,nhưng
nhug,nhưng
nhưg,nhưng
boys,những chàng trai
nma,nhưng mà
homies,những người anh em
nik,nít
lọ,nọ
đc của ló,nó được đấy
được của ló,nó được đấy
múp,nở nang
nô nố,no no
lói,nói
nố,nói
ns,nói
nz,nói
nỗi,nổi
nch,nói chuyện
ns ch,nói chuyện
hót,nóng
nx,nữa
lứng,nứng
n*ng,nứng
nug,nứng
nl,nứng lồn
nulo,nứng lồn
nứng lòn,nứng lồn
nlmm,nứng lồn mong manh
nk,nước
lúp,núp
oto,ô tô
ochco,óc chó
ấu,oh
úi,ối
ei,ơi
êi,ơi
ey,ơi
êy,ơi
oi,ơi
ôi,ơi
oy,ơi
ui,ơi
ưi,ơi
ưu,ơi
u là trời,ôi trời
ô,ông
og,ông
ôg,ông
fai,phải
pải,phải
%,phần trăm
fansixlong,phan xích long
ga,phát thưởng
give away,phát thưởng
lai chim,phát trực tiếp
like trym,phát trực tiếp
live stream,phát trực tiếp
sờ chim,phát trực tiếp
sờ chym,phát trực tiếp
sờ trym,phát trực tiếp
pttm,phẫu thuật thẩm mỹ
fhe,phê
pép,phép
phếch,phết
fim,phim
jav,phim người lớn nhật bản
phobolsa,phố bolsa
phobolsatv,phố bolsa tv
phodiwalk,phố đi bộ
ptt,phó thủ tướng
sờ tai,phong cách
style,phong cách
pccc,phòng cháy chữa cháy
pts,photoshop
fu,phu
fụ,phụ
fuho,phụ hồ
phu thuê,phu thê
pkuong,phương
pubgm,pubg di động
qa,qua
qá,quá
qué,quá
quó,quá
toá,quá
wá,quá
wa',quá
wua,quá
wuá,quá
nghiệp quật,quả báo
qtqd,quá trời quá đất
qtqđ,quá trời quá đất
qản,quản
quan chuc,quan chức
net,quán điện tử
qằn qè,quần què
qq,quần què
quanque,quần què
qt,quan tâm
qtam,quan tâm
ad,quản trị viên
ađ,quản trị viên
add,quản trị viên
admin,quản trị viên
asmin,quản trị viên
assmin,quản trị viên
qtrong,quan trọng
pr,quảng cáo
qc,quảng cáo
qcao,quảng cáo
wen,quen
quệt,quẹt
qg,quốc gia
qh,quốc hội
cuốc sư,quốc sư
qtich,quốc tịch
qtịch,quốc tịch
quý dị,quý vị
qđ,quyết định
spam,rác
dăn đe,răn đe
rah,rảnh
rãnh,rảnh
gáp pơ,rapper
gờ,rờ
dờ gáy,rờ gáy
dồi,rồi
giồi,rồi
ồi,rồi
ời,rồi
oi`,rồi
r,rồi
r`,rồi
roày,rồi
roi,rồi
ròi,rồi
rồy,rồi
rùi,rồi
zồi,rồi
gơi,rơi
gồ ba nồ,romano
gớt,rớt
rk,rứa
ruk,rứa
rừg,rừng
rọt,ruột
sadec,sa đéc
sgk,sách giáo khoa
sg,sài gòn
sx,sản xuất
sag,sang
s,sao
xập,sập
sắp mặt,sấp mặt
sml,sấp mặt lồn
damage,sát thương
dame,sát thương
xẽ,sẽ
shop pe,shopee
sop pe,shopee
sóp pe,shopee
xóp be,shopee
sốp pe,shoppe
sô bít,showbiz
siu,siêu
su bờ,siêu
super,siêu
sf,siêu giả
super fake,siêu giả
siu nhơn,siêu nhân
sly,sinh lý
snvv,sinh nhật vui vẻ
sz,size
skt,skt t1
tởn,sợ
xợ,sợ
sdt,số điện thoại
sđt,số điện thoại
sll,số lượng lớn
ss,so sánh
mtp,sơn tùng mtp
st,sơn tùng mtp
tùng moutain,sơn tùng mtp
sbtc,sống bằng tình cảm
sd,sử dụng
ì ven,sự kiện
sk,sức khỏe
suc vat,súc vật
sv,súc vật
xúc zật,súc vật
xug,sung
mém,suýt
xém,suýt
ạc,tài khoản
acc,tài khoản
account,tài khoản
nick,tài khoản
tsao,tại sao
bye,tạm biệt
pp,tạm biệt
tamthan,tâm thần
cua,tán
thp,tân hiệp phát
tán,táng
tăg,tăng
donate,tặng
donet,tặng
kao,tao
t,tao
tau,tao
xàm,tào lao
evn,tập toàn điện lực việt nam
tấc diên,tất nhiên
tấc dziêng,tất nhiên
tâc nghiêng,tất nhiên
tấc nhiên,tất nhiên
tắc nhiêng,tất nhiên
tấc nhiêng,tất nhiên
tất diên,tất nhiên
tiếc diên,tất nhiên
tiếc ziên,tất nhiên
tiếc ziêng,tất nhiên
tức diêng,tất nhiên
tức nghiêng,tất nhiên
tức nhiên,tất nhiên
tảy,tẩy
thả trym,thả tim
thách th,thách thức
ttdh,thách thức danh hài
tham nhủng,tham nhũng
icedolce,thần tượng
ido,thần tượng
idol,thần tượng
thág,tháng
thèn,thằng
thg,thằng
thk,thằng
tz,thằng
fuck boy,thằng khốn nạn
fuckboi,thằng khốn nạn
tml,thằng mặt lồn
tp,thành phố
tphcm,thành phố hồ chí minh
auth,thật
authentic,thật
thặc,thật
thạt,thật
thẹc,thật
tkay,thầy
rứa,thế
tdn,thế đéo nào
tđn,thế đéo nào
tgt3,thế giới thứ 3
thnao,thế nào
tnao,thế nào
ri,thế này
gam,thể thao điện tử
gam esport,thể thao điện tử gam
fl,theo dõi
thj,thì
like,thích
thic,thích
thíc,thích
thick,thích
thik,thích
thít,thích
thjx,thích
thjeen,thiên
thiệc,thiệt
thíu,thiếu
ther,thơ
chọt,thọc
thâu,thôi
thgian,thôi
thoi,thôi
thôu,thôi
thoy,thôi
thui,thôi
tgian,thời gian
time,thời gian
notifi,thông báo
tb,thông báo
in4,thông tin
infor,thông tin
information,thông tin
t3,thứ ba
t7,thứ bảy
t2,thứ hai
t5,thứ năm
t6,thứ sáu
t4,thứ tư
thuốt,thuốc
thưn,thương
thuog,thương
thuơg,thương
thw,thương
sun vòi,thụt cặc
thuyết đục,thuyết phục
xiền,tiền
xiềng,tiền
tịn,tiện
tiêng chi,tiên tri
tiêng chy,tiên tri
tiêng tri,tiên tri
ing lích,tiếng anh
típ,tiếp
tịp,tiệp
tx,tiếp xúc
tiu,tiêu
tym,tim
sợt,tìm kiếm
tn,tin nhắn
tnhắn,tin nhắn
tíh,tính
t/c,tình cảm
tc,tình cảm
séc,tình dục
sếch,tình dục
sex,tình dục
ngộ,tôi
toi,tôi
toy,tôi
ai lóp du,tôi yêu bạn
ai lốp du,tôi yêu bạn
ai lớp du,tôi yêu bạn
ai lớp du chu cờ mo,tôi yêu bạn nhiều
i love you chu cà mo,tôi yêu bạn nhiều
tớm,tóm
túm,tóm
tbt,tổng bí thư
ceo,tổng giám đốc điều hành
tls,tổng lãnh sự
good,tốt
gud,tốt
nai,tốt
nice,tốt
tot,tottenham
trã,trả
chả lại,trả lại
refund,trả lại
rf,trả lại
reply,trả lời
tà tưa,trà sữa
tsua,trà sữa
dzai,trai
tria,trai
zai,trai
chầm kẽm,trầm cảm
chầm zn,trầm cảm
ck4mk4m,trầm cảm
ckầm kảm,trầm cảm
chầng giần,trần dần
ông cọp,trần dần
td,trần dần
trần cọp,trần dần
tran dan,trần dần
trân dân,trần dần
trần dan,trần dần
trần tiger,trần dần
tdh,trần duy hưng
chân chọng,trân trọng
sờ ta tus,trạng thái
status,trạng thái
stt,trạng thái
tus,trạng thái
trẩu,trẻ trâu
tretrau,trẻ trâu
chi ân,tri ân
chiết lí,triết lí
củ,triệu
trẹo,triệu
trịu,triệu
trof,trò
joke,trò đùa
căm bách,trở lại
comeback,trở lại
chòi,trời
chời,trời
chòy,trời
troi,trời
xời,trời
zời,trời
tr ạ,trời ạ
tr oi,trời ơi
tr ơi,trời ơi
tr oi tr,trời ơi trời
chốn,trốn
trog,trong
trỏng,trong ấy
chong xáng,trong sáng
on,trực tuyến
onlai,trực tuyến
online,trực tuyến
trun,trump
trug,trung
